Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-1.1620674466756081e-37,5.810337233378041e-38,3.4034739554736045e-82,-1.8444362181907795e-36,0.0,0.0,1.9025395905245598e-36,0.0,0.0,0.0,-2.3241348933512163e-37,5.810337233378041e-38,3.4034739554736045e-82,-3.688872436381559e-36,0.0,0.0,1.9025395905245598e-36,0.0,0.0,0.0,1.5948296621106109e-35,0.0,0.0,7.974148321152082e-36,0.0,0.0,0.0,0.0,0.0,0.0,14224.260581636025,20621.187049699038,1376.8240381169373,915.3790584183175,1762.3702361013761,1859.9926759706589,1046.6897813935661,1225.9726940702951,520.30429400208,1036.141838357317,-258914.30143874034,215892774.62196591,15549403.9532918,-16638.25806056558,2281629.860357819,-13457312.761631707,361200.9032804298,-4017237.125314309,-9443.522936137748,-18769.450277201282,0.3468193868998822,0.2342334546541111,0.8594207045052762,1.3830533161378074,0.8758482296869389,1.2483202270160139,1.3466001621016561,1.3557818306893163,1.4017005796348803,1.2986274257155577,-20026.308964137355,0.007286467468525064,280.0,1.1446748836946712,26.300121673003805,1104.3039676130104,0.03354161433484151,1.7627851339113452e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-2.04092434946985e-29,1.020462174734925e-29,1.1103548033917527e-64,-3.239359986822235e-28,0.0,0.0,3.3414062042957275e-28,0.0,0.0,0.0,-4.0818486989397e-29,1.020462174734925e-29,1.1103548033917527e-64,-6.47871997364447e-28,0.0,0.0,3.3414062042957275e-28,0.0,0.0,0.0,2.800979151399406e-27,0.0,0.0,1.4004895775611966e-27,0.0,0.0,0.0,0.0,0.0,0.0,14448.531220395707,20621.187049709675,1353.7791660107969,927.7766440952718,1746.559974604835,1879.9216996249954,1088.4937042621411,1301.5487337913787,520.30429400208,1041.845502044421,697840.3815831735,217267520.42527977,15640369.39688945,44766.10743677054,2398551.346735388,-13332703.82868788,432326.10821201815,-3933005.0374909355,25243.42999733426,50498.313411297255,0.3466714317455568,0.2297721643627235,0.8515435677224218,1.3643593190010024,0.8678158087935952,1.1787795813700106,1.3277931885305176,1.336843678999675,1.3759301007420746,1.2826209032855362,53889.2797959917,0.007286467468525064,346.6666666666667,0.9245450983687726,26.300121673003805,1113.1485297989313,0.03928461034422742,2.070253169910402e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-7.317194759285181e-24,3.6585973796425906e-24,7.543050168074501e-53,-1.1613868943829725e-22,0.0,0.0,1.1979728681793982e-22,0.0,0.0,0.0,-1.4634389518570362e-23,3.6585973796425906e-24,7.543050168074501e-53,-2.322773788765945e-22,0.0,0.0,1.1979728681793982e-22,0.0,0.0,0.0,1.0042170339537888e-21,0.0,0.0,5.021085176442838e-22,0.0,0.0,0.0,0.0,0.0,0.0,14531.07075395923,20621.187049700053,1339.0614399381361,945.0988152060487,1737.5777602414319,1908.4598061916665,1136.2369942768998,1378.3211456736346,520.30429400208,1047.892618492421,1664417.6306030885,218642266.22859344,15730092.504230542,107174.4337333115,2514656.0238284175,-13206465.50925237,506464.5611132311,-3843671.4484235705,59930.38293080629,120151.170426967,0.3476687236410375,0.2276838051159719,0.8493044246159112,1.3569285034100724,0.8655309116693217,1.1357059794263926,1.32017630543342,1.3291730029008415,1.3640384213774046,1.2766171792366445,128401.87298652624,0.007286467468525064,413.33333333333337,0.7754249212125189,26.300121673003805,1122.3609481145224,0.04484907966211501,2.3508367690889992e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-7.160006666889293e-20,3.5800033334446467e-20,2.5044439819804496e-44,-1.1364379629321607e-18,0.0,0.0,1.172237996266607e-18,0.0,0.0,0.0,-1.4320013333778587e-19,3.5800033334446467e-20,2.5044439819804496e-44,-2.2728759258643214e-18,0.0,0.0,1.172237996266607e-18,0.0,0.0,0.0,9.826444279057748e-18,0.0,0.0,4.913222146059398e-18,0.0,0.0,0.0,0.0,0.0,0.0,14537.467466062672,20621.187049683256,1329.9760448291413,965.1509578349522,1733.8524878474407,1943.3140623731153,1185.373147850031,1452.6101378117646,520.30429400208,1055.2990697189555,2633635.102183161,220017012.03190625,15819035.699572505,170839.65284729117,2630344.968176116,-13078102.449506259,583854.5046337247,-3749284.8121693465,94617.33586427827,190247.79146447955,0.3488582317766288,0.22659594112369202,0.8490649788903908,1.3539098408331245,0.8652848943235852,1.1063467718711542,1.3169757162941043,1.32594932394292,1.3579575060513418,1.2744445203740968,203562.3129151143,0.007286467468525064,480.0,0.6677270154885581,26.300121673003805,1132.6850152469017,0.05028105689030844,2.6113107755053827e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-7.196832553147244e-17,3.598416276573622e-17,6.643692509066527e-38,-1.1422829763670908e-15,0.0,0.0,1.178267139132827e-15,0.0,0.0,0.0,-1.4393665106294487e-16,3.598416276573622e-17,6.643692509066527e-38,-2.2845659527341815e-15,0.0,0.0,1.178267139132827e-15,0.0,0.0,0.0,9.876984388330841e-15,0.0,0.0,4.938492200729534e-15,0.0,0.0,0.0,0.0,0.0,0.0,14518.887899316775,20621.187049668693,1324.3486612615263,986.1380364958752,1734.1292098167073,1982.5792426298474,1232.465368683016,1521.7353630866157,520.30429400208,1064.736737937292,3602202.2804304417,221391757.83521792,15907499.102689682,235881.70848355032,2745925.054558698,-12947259.234258542,664468.0714269436,-3650105.5874195453,129304.2887977503,260903.10602620427,0.3497447484571769,0.22584016615176106,0.849008431755031,1.3519240398196262,0.8652258589346388,1.0843682584795284,1.3148545560275584,1.3238127974285505,1.3537528510396237,1.2730501524993487,279461.87521194754,0.007286467468525064,546.6666666666667,0.58629689164849,26.300121673003805,1144.5899381852348,0.055605487787020694,2.8560836362310504e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-1.568888791276768e-14,7.84444395638386e-15,6.824869603279844e-33,-2.490144024963984e-13,0.0,0.0,2.568588464527822e-13,0.0,0.0,0.0,-3.137777582553536e-14,7.84444395638386e-15,6.824869603279844e-33,-4.980288049927968e-13,0.0,0.0,2.568588464527822e-13,0.0,0.0,0.0,2.1531541805417413e-12,0.0,0.0,1.0765770917018263e-12,0.0,0.0,0.0,0.0,0.0,0.0,14512.076855206975,20621.187049662185,1320.5254654605392,1006.6645941323003,1737.469136100651,2024.7378291804282,1275.1865677666262,1584.0159191651812,520.30429400208,1076.533505556328,4569759.027588515,222766503.63852888,15995655.22858319,302314.1945955083,2861630.033167886,-12813694.539762236,748085.2646360744,-3546539.6078471863,163991.24173122228,332265.36910191516,0.35009536651945994,0.2250832152223308,0.8482462114290527,1.3493010322965668,0.8644480525957798,1.066414778532522,1.3121624570619919,1.3211016829765365,1.349464528168174,1.2709294042563024,356213.9631165628,0.007286467468525064,613.3333333333334,0.5225689686432194,26.300121673003805,1158.2703382207364,0.06083713587282351,3.088190537541062e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-1.1668558535237266e-12,5.834279267619203e-13,7.082050877961823e-29,-1.8520363889409007e-11,0.0,0.0,1.910379181617081e-11,0.0,0.0,0.0,-2.333711707047453e-12,5.834279267619203e-13,7.082050877961823e-29,-3.7040727778818013e-11,0.0,0.0,1.910379181617081e-11,0.0,0.0,0.0,1.6014013058628557e-10,0.0,0.0,8.007006539956198e-11,0.0,0.0,0.0,0.0,0.0,0.0,14539.357394093351,20621.187049665907,1317.3731292989578,1025.7347521173,1743.249634208264,2068.6600120014864,1312.31936338093,1638.7703485006014,520.30429400208,1090.6732551805917,5537914.134629157,224141249.4418398,16083583.687190745,370070.9939471368,2977641.606777417,-12677255.286530519,834367.9383799987,-3439071.4524546186,198678.19466469428,404493.22784850077,0.3498541031502896,0.22418300468866162,0.846455434238357,1.345378636694804,0.8626223037025779,1.0507276832407488,1.3082403841637904,1.3171523807770147,1.3442628726512365,1.2674980710935813,433935.8017646463,0.007286467468525064,680.0,0.47133671681545275,26.300121673003805,1173.6462509466685,0.06598540830373381,3.309814835832842e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-3.9585262453101035e-11,1.979263122659227e-11,1.3744209479444432e-25,-6.28298228160543e-10,0.0,0.0,6.480908593870516e-10,0.0,0.0,0.0,-7.917052490620207e-11,1.979263122659227e-11,1.3744209479444432e-25,-1.256596456321086e-09,0.0,0.0,6.480908593870516e-10,0.0,0.0,0.0,5.432709686795163e-09,0.0,0.0,2.7163548470023578e-09,0.0,0.0,0.0,0.0,0.0,0.0,14608.63083521069,20621.187049678407,1314.278820297092,1042.7522102535363,1751.1642292061097,2113.603688827706,1343.7560810952841,1686.3166383321623,520.30429400208,1106.7958696102387,6509283.871843968,225515995.24515122,16171305.883096494,439032.9166749318,3094110.5079135434,-12537850.792152856,922933.7782392448,-3328197.8159211082,233365.14759816634,477732.7882696723,0.3490965689828389,0.2231216512156364,0.8437024447402487,1.3401690212078035,0.8598161487212356,1.0365056675484323,1.3030907626500743,1.3119672858359896,1.3380547733972017,1.2627923191809458,512730.13247483724,0.007286467468525064,746.6666666666667,0.42925308138550156,26.300121673003805,1190.3631262583415,0.07105671785706608,3.522582988400017e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-7.441530144192305e-10,3.720765072197982e-10,7.545213000264163e-23,-1.1811214362467771e-08,0.0,0.0,1.2183290869667127e-08,0.0,0.0,0.0,-1.488306028838461e-09,3.720765072197982e-10,7.545213000264163e-23,-2.3622428724935542e-08,0.0,0.0,1.2183290869667127e-08,0.0,0.0,0.0,1.0212809109660131e-07,0.0,0.0,5.106404561477646e-08,0.0,0.0,0.0,0.0,0.0,0.0,14713.376756668422,20621.187049694607,1311.150201622781,1057.5202467732613,1761.2226037183261,2159.214465151837,1370.4987537683392,1727.9722206852948,520.30429400208,1124.1972318410574,7486530.539436021,226890741.0484637,16258819.715240858,509054.33884988615,3211177.576025545,-12395426.924111135,1013430.2817419416,-3214360.878950433,268052.10053163837,552094.681895673,0.34800070852777454,0.22196880423545037,0.8403403362724462,1.3341707806189413,0.8563893749770233,1.0235697616457822,1.2971921467104628,1.3060281810994137,1.331267520770665,1.257298334962491,592666.9070355298,0.007286467468525064,813.3333333333334,0.3940684025834113,26.300121673003805,1207.7918283531142,0.07605571869783366,3.727741609773602e-05,0.0
0.0,0.0,0.007286467468525063,0.0,0.0,0.23130197029550098,0.0,0.0,0.0,0.0,0.0,0.7614115622359741,-8.874781924159562e-09,4.4373909631428726e-09,1.5630758653760464e-20,-1.4086074997086088e-07,0.0,0.0,1.452981409318619e-07,0.0,0.0,0.0,-1.7749563848319124e-08,4.4373909631428726e-09,1.5630758653760464e-20,-2.8172149994172175e-07,0.0,0.0,1.452981409318619e-07,0.0,0.0,0.0,1.2179814087300377e-06,0.0,0.0,6.089907050286412e-07,0.0,0.0,0.0,0.0,0.0,0.0,14832.652995450693,20621.1870497058,1308.415432091399,1070.2417183383163,1773.7505979266232,2205.525654224687,1394.6591215480364,1766.0539723715788,520.30429400208,1141.8292250644636,8471401.018111505,228265486.85177708,16346134.276630374,579989.8410394628,3328994.834656228,-12249940.252595793,1105608.738849771,-3097881.67861847,302739.05346511037,627631.1324629853,0.3468258523323404,0.22085907048259543,0.836942030970105,1.3282497910501263,0.852925812042879,1.0121706731160935,1.2913820457888499,1.3001782591419866,1.3247153259753366,1.2518435031291673,673764.9819916772,0.007286467468525064,880.0,0.3642147357210317,26.300121673003805,1225.0286357303924,0.08098598641194515,3.926269048144064e-05,0.0
